id,date,species,sex,wing,mass
o40sO2e2h6-bXPbz9A,2012-07-28,Carolina Wren,M,61,20.8
w52wZ84F0O-n9c7sqA,2012-07-29,Gray Catbird,M,92,39.7
y4D6Uut01i-n9c7sqA,2012-07-29,Northern Cardinal,M,94,40.9
kHt3n11h2j-n9c7sqA,2012-07-29,House Wren,F,49,10.6
m566q29saL-n9c7sqA,2012-07-29,Carolina Wren,F,59,20.6
ltEUu1d6W2-bXPbz9A,2012-07-28,Song Sparrow,M,63,18
i03Kx5bE8n-bXPbz9A,2012-07-28,Northern Cardinal,F,85,34.1
c3QK3q42XL-bXPbz9A,2012-07-28,Northern Cardinal,M,95,43.2
s8cyksY7tZ-bXPbz9A,2012-07-28,House Wren,M,51,10.3
xe2dUz6F06-n9c7sqA,2012-07-29,Gray Catbird,F,92,34.3
r1D3J3rm1l-n9c7sqA,2012-07-29,Gray Catbird,M,91,34.5
e8Pm4X1261-n9c7sqA,2012-07-29,Carolina Wren,F,55,16.8
ttlai25dqy-bXPbz9A,2012-07-28,Carolina Wren,F,56,18.7
cwCui9X6pL-zP49s3t,2013-05-28,Northern Cardinal,F,89,47.1
k411OMGWw3-szQ5rJm,2013-05-29,House Wren,M,48,11
pkbZEn803R-szQ5rJm,2013-05-29,Carolina Wren,F,63,20.9
gE6r7fwYPa-zP49s3t,2013-05-28,Carolina Chickadee,F,57,9.1
sv5ps42Swx-szQ5rJm,2013-05-29,Northern Cardinal,M,95,38.6
eD39YMsoBO-zP49s3t,2013-05-28,Carolina Wren,F,53,9.4
ox2nE2tMe0-zP49s3t,2013-05-28,Northern Cardinal,M,95,38.6
cHJ2PL04O3-pNnm5w6,2013-06-05,American Robin,M,132,79.4
r49035Ir9G-nuF1T31,2013-06-08,House Wren,M,50,11
e3PL9Dm5rN-nuF1T31,2013-06-08,Song Sparrow,M,69,22.2
r6mOyqKY01-nuF1T31,2013-06-08,Gray Catbird,M,87,34.6
a72Atd0aQp-nuF1T31,2013-06-08,Gray Catbird,M,90,35.3
qD1p52K7A0-nuF1T31,2013-06-08,Northern Cardinal,M,96,44.6
diT3w3OZu2-nuF1T31,2013-06-08,House Wren,F,51,15.2
rYm93T69vD-h9W6dn0,2013-06-14,Carolina Wren,M,60,22.8
nh50kB382N-nuF1T31,2013-06-08,Northern Cardinal,F,90,39.5
fxE73pfA3z-aAhM72G,2013-06-20,Northern Cardinal,M,98,44.5
u809dbJ8UV-aAhM72G,2013-06-20,Song Sparrow,M,64,22
fM4I5d9WBp-nuF1T31,2013-06-08,Carolina Chickadee,F,60,9.4
vCW25v6ie7-h9W6dn0,2013-06-14,Northern Cardinal,F,90.5,45.2
iC215o8yN3-m695mV1,2013-06-16,American Robin,M,131,77.5
bxK74Bp3bn-h9W6dn0,2013-06-14,Northern Cardinal,M,95,43
q8P8D63209-n16sWTo,2013-06-15,American Robin,M,124,82.1
tP9Yp9rBiL-h9W6dn0,2013-06-14,Northern Cardinal,M,99,45.1
hOjRy65WTB-tT5g9s4,2013-06-25,House Wren,M,51.5,11.2
bRt0w1TUs4-aAhM72G,2013-06-20,Carolina Wren,M,60,19.7
sN07AYw596-h9W6dn0,2013-06-14,Northern Cardinal,F,87.5,44.8
l43433d87v-aAhM72G,2013-06-20,Northern Cardinal,M,94,43.1
u79nCD23lN-aAhM72G,2013-06-20,Northern Cardinal,M,97,44.1
pP0dBoFk5X-aAhM72G,2013-06-20,Northern Cardinal,M,92,43.7
rGl295e3yw-coH4eSw,2013-06-24,House Wren,F,47.5,9.7
pDt57Kp6B9-bb8SLD7,2013-06-27,Northern Cardinal,F,89,45
rg7s5k4OGU-vFRQCvD,2013-06-27,House Wren,F,49,12.3
n40Csh76Fk-zU16eX5,2013-06-25,American Robin,F,119,78.6
xj3gxN4QSp-vFRQCvD,2013-06-27,Gray Catbird,M,90,39.3
p9ey2d8KRi-tT5g9s4,2013-06-25,Carolina Chickadee,M,61,11.1
qs488kxA96-bb8SLD7,2013-06-27,Carolina Wren,F,57,21.6
w6Jb2Tv1X0-lbGCg59,2013-06-22,Song Sparrow,M,64,21
lrymzZ4jo8-vFRQCvD,2013-06-27,American Robin,M,133,78.1
ec8R7ar1o8-vFRQCvD,2013-06-27,House Wren,M,51,10.5
l04ei5yDT4-g355Q4A,2013-07-01,Northern Cardinal,F,91,41.2
lP0OlyW75V-bb8SLD7,2013-06-27,Carolina Wren,M,55.5,20.4
o59ZVQ90SU-i3cKq4h,2013-07-02,House Wren,F,50,13.2
k839lnzs48-i3cKq4h,2013-07-02,House Wren,M,52,10.7
v19N7Vly27-i3cKq4h,2013-07-02,Song Sparrow,M,66,21.9
iO589lj42Y-j98dF5P,2013-06-29,House Wren,M,51,10.5
zm6JBsA40n-bb8SLD7,2013-06-27,Carolina Chickadee,F,57,9.8
r8U08r2Wn4-g355Q4A,2013-07-01,American Robin,F,123,74.5
qOKbMaF6cR-j98dF5P,2013-06-29,Gray Catbird,M,86,32.9
j5bY7426is-j98dF5P,2013-06-29,Northern Cardinal,F,92,41.1
uk0Zy37YUM-i3cKq4h,2013-07-02,Song Sparrow,F,62,20.9
jZJK7AOvC3-i3cKq4h,2013-07-02,American Robin,F,125,81.2
i0C2Hxu3Zc-coH4eSw,2013-06-24,Carolina Chickadee,F,63,10.1
t1o3sWYHqx-j98dF5P,2013-06-29,Carolina Wren,F,59,18.7
oCWE272tLu-g355Q4A,2013-07-01,Gray Catbird,M,88,36.2
c43FZ396yR-coH4eSw,2013-06-24,Carolina Wren,F,56.5,18.3
b5m94XUSO2-zU16eX5,2013-06-25,Song Sparrow,F,62,22.1
tGXn4125A2-g355Q4A,2013-07-01,House Wren,M,53,10.1
yjVJExIYX3-j98dF5P,2013-06-29,Song Sparrow,F,63,20.1
yxIV5X7u68-i8nfH74,2013-06-29,Song Sparrow,M,64,22.1
ueOKq1jkiZ-llb73O6,2013-07-08,Gray Catbird,F,86,35
wp8FjVKM5R-llb73O6,2013-07-08,Northern Cardinal,M,92,41.9
o470Y53tZq-llb73O6,2013-07-08,House Wren,F,48,10.3
f4LnhEca5S-tmQ76eD,2013-07-06,Song Sparrow,M,69,20.4
a7l1165BOJ-tmQ76eD,2013-07-06,Carolina Chickadee,F,60,9.6
ve02TtK4Ez-llb73O6,2013-07-08,Gray Catbird,M,89,36
jPo8GLQ64J-llb73O6,2013-07-08,Carolina Wren,F,62,21.1
e6aTuhlqjy-llb73O6,2013-07-08,Carolina Wren,F,65,18
kb451ih0CP-r6ckZr1,2013-07-09,House Wren,M,49,9.9
kP0os4kw3O-tmQ76eD,2013-07-06,Northern Cardinal,F,88,39
vl5pm0htyV-r6ckZr1,2013-07-09,Carolina Wren,F,57,16.7
zT09S09Z0m-llb73O6,2013-07-08,Carolina Wren,F,58,19.8
y8vkM2JECR-r6ckZr1,2013-07-09,House Wren,F,49,12.6
e7k0C3F2h6-sr18UT6,2013-07-20,American Robin,M,122,72.1
rGbTNunW5I-b66WkcM,2013-07-13,American Robin,M,123,72.4
wBjC5WSR8i-d1UYa5B,2013-07-16,Carolina Wren,F,57,19.3
zLdy1x79Zv-aWL3k7N,2013-07-10,Northern Cardinal,M,90,42.3
uN0mws1KP0-n7U3RTO,2013-07-19,American Robin,F,120,65.3
tAutnwJprz-x323ozf,2013-07-11,Northern Cardinal,F,92,43.6
wty76eLko1-sr18UT6,2013-07-20,Gray Catbird,M,90,35.1
jncil7643C-n7U3RTO,2013-07-19,Carolina Chickadee,F,60.1,10.1
dMx98SZ6Vc-d1UYa5B,2013-07-16,House Wren,F,51,12.8
v23X311qiw-kx976u3,2013-07-14,Carolina Wren,F,60,19.4
b5c23IV7qx-sr18UT6,2013-07-20,American Robin,M,129,76.6
k0Y5NJVj7F-r6ckZr1,2013-07-09,Song Sparrow,F,68,23
dx5YGwfQpr-aWL3k7N,2013-07-10,Northern Cardinal,F,94,38.2
dYRNIEmAGu-mt36hiT,2013-07-31,Northern Cardinal,F,93,46.4
a0o346p2rF-aWL3k7N,2013-07-10,Northern Cardinal,F,85,38.6
y500RwW94n-sr18UT6,2013-07-20,Gray Catbird,F,84,36.4
