Visit_ID,Site_ID,Treatment,Sample_number,Provisional_ID,ID2,Caterpillar_mass_mg,DaysSince
13,143,Unlit,1,angle shades?,Green noctuid,313.6,12
13,143,Unlit,11,Small noctuid - SSR?,Brown noctuid,61.3,12
13,143,Unlit,30,Small noctuid - SSR?,Brown noctuid,34,12
13,143,Unlit,39,Small noctuid - SSR?,Brown noctuid,50.4,12
13,143,Unlit,20,Small noctuid - SSR?,Brown noctuid,95.5,12
13,143,Unlit,13,Small noctuid - SSR?,Brown noctuid,37.9,12
13,143,Unlit,43,Small noctuid - SSR?,Brown noctuid,41.8,12
13,143,Unlit,45,Small noctuid - SSR?,Brown noctuid,50,12
13,143,Unlit,11.5,Small noctuid - SSR?,Brown noctuid,31.8,12
13,143,Unlit,18,Small noctuid - SSR?,Brown noctuid,71.1,12
13,143,Unlit,10,Small noctuid - SSR?,Brown noctuid,66.8,12
13,143,Unlit,6,green noctuid,Green noctuid,55.1,12
13,143,Unlit,33,green noctuid,Green noctuid,69.6,12
13,143,Unlit,38,small noctuid - SSR?,Brown noctuid,53.7,12
13,143,Unlit,21,ssr,Brown noctuid,45.6,12
13,143,Unlit,37,small noctuid - SSR?,Brown noctuid,87.4,12
13,143,Unlit,8,small noctuid - SSR?,Brown noctuid,46.2,12
13,143,Unlit,25,Xestia,Xestia,112.7,12
13,143,HPS,9,small noctuid - SSR?,Brown noctuid,37.2,12
13,143,HPS,1,small noctuid - SSR?,Brown noctuid,22.1,12
13,143,HPS,12,small noctuid - SSR?,Brown noctuid,44.7,12
13,143,HPS,13,small noctuid - SSR?,Brown noctuid,37.2,12
13,143,HPS,11,small noctuid - SSR?,Brown noctuid,62.5,12
13,143,HPS,14,small noctuid - SSR?,Brown noctuid,30.4,12
13,143,HPS,3,small noctuid - SSR?,Brown noctuid,139.1,12
13,143,HPS,15,small noctuid - SSR?,Brown noctuid,16.8,12
13,143,HPS,7,small noctuid - SSR?,Brown noctuid,85.4,12
13,143,HPS,10,green noctuid,Green noctuid,84.5,12
13,143,HPS,4,small noctuid - SSR?,Brown noctuid,63.1,12
13,143,HPS,8,small noctuid - SSR?,Brown noctuid,44.2,12
13,143,HPS,5,small noctuid - SSR?,Brown noctuid,61.6,12
13,143,HPS,2,small noctuid - SSR?,Brown noctuid,62.7,12
13,143,HPS,6,small noctuid - SSR?,Brown noctuid,89.4,12
14,134,Unlit,6,small noctuid - SSR?,Brown noctuid,34.3,12
14,134,HPS,5,small noctuid - SSR?,Brown noctuid,56.7,12
14,134,HPS,1,large yellow Underwing?,Large Yellow Underwing,238.6,12
14,134,HPS,2,large yellow Underwing?,Large Yellow Underwing,604.2,12
14,134,HPS,6,Small noctuid - SSR?,Brown noctuid,75.4,12
14,134,Unlit,1,Small noctuid - SSR?,Brown noctuid,82.6,12
14,134,Unlit,3,small noctuid - SSR?,Brown noctuid,93.7,12
14,134,HPS,3,small noctuid - SSR?,Brown noctuid,88.5,12
14,134,Unlit,7,small noctuid - SSR?,Brown noctuid,106.8,12
14,134,HPS,9,Small noctuid - SSR?,Brown noctuid,85,12
14,134,HPS,4,green noctuid,Green noctuid,43.1,12
14,134,HPS,7,Small noctuid - SSR?,Brown noctuid,40.6,12
14,134,Unlit,2,green noctuid,Green noctuid,55.2,12
14,134,Unlit,3,Small noctuid - SSR?,Brown noctuid,55.9,12
14,134,HPS,8,Small noctuid - SSR?,Brown noctuid,45,12
22,171,HPS,7,Small noctuid - SSR?,Brown noctuid,57.3,39
22,171,HPS,2,Small noctuid - SSR?,Brown noctuid,147.8,39
22,171,HPS,1,Small noctuid - SSR?,Brown noctuid,88.1,39
22,171,HPS,10,Small noctuid - SSR?,Brown noctuid,61.8,39
22,171,HPS,4,Small noctuid - SSR?,Brown noctuid,46.6,39
22,171,HPS,8,Small noctuid - SSR?,Brown noctuid,42.4,39
22,171,HPS,12,Small noctuid - SSR?,Brown noctuid,88,39
22,171,Unlit,4,Small noctuid - SSR?,Brown noctuid,68.9,39
